message_id,date_utc_offset,canonical_remedy,remedy_slug,canonical_card_message_id,source_image,source_image_exists,source_role,image_classification,image_review_status,public_url,notes
"message37","02.09.2024 17:39:42 UTC-05:00","Aurum metallicum","aurum-metallicum","message37","photos/photo_31@02-09-2024_17-39-42.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/aurum-metallicum/message37-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message49","07.09.2024 13:53:33 UTC-05:00","Natrum Muriaticum","natrum-muriaticum","message49","photos/photo_39@07-09-2024_13-53-33.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/natrum-muriaticum/message49-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message54","08.09.2024 15:54:00 UTC-05:00","Ignatia Amara","ignatia-amara","message54","photos/photo_41@08-09-2024_15-54-00.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/ignatia-amara/message54-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message70","12.09.2024 19:14:04 UTC-05:00","Cantharis","cantharis","message70","photos/photo_49@12-09-2024_19-14-04.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/cantharis/message70-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message112","25.09.2024 16:47:01 UTC-05:00","Opium","opium","message112","photos/photo_78@25-09-2024_16-47-01.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/opium/message112-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message113","26.09.2024 20:41:07 UTC-05:00","Sulphur","sulphur","message113","photos/photo_79@26-09-2024_20-41-07.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/sulphur/message113-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message114","27.09.2024 08:46:07 UTC-05:00","Baryta Carbonica","baryta-carbonica","message114","photos/photo_80@27-09-2024_08-46-07.jpg","yes","primary_card_attached","promotional_admin","excluded_promotional_admin","","Visually reviewed CTA/promotional attachment; retained in provenance but excluded from public remedy media."
"message134","28.10.2024 16:46:56 UTC-05:00","Urtica Urens","urtica-urens","message134","photos/photo_93@28-10-2024_16-46-56.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/urtica-urens/message134-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message147","08.11.2024 10:04:09 UTC-05:00","Ferrum Phosphoricum","ferrum-phosphoricum","message147","photos/photo_99@08-11-2024_10-04-09.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/ferrum-phosphoricum/message147-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message153","12.11.2024 09:39:11 UTC-05:00","Lachesis","lachesis","message153","photos/photo_103@12-11-2024_09-39-11.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/lachesis/message153-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message158","15.11.2024 09:15:57 UTC-05:00","Gelsemium","gelsemium","message158","photos/photo_106@15-11-2024_09-15-57.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/gelsemium/message158-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message162","18.11.2024 08:03:11 UTC-05:00","Nitricum Acidum","nitricum-acidum","message162","photos/photo_108@18-11-2024_08-03-11.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/nitricum-acidum/message162-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message164","19.11.2024 10:42:17 UTC-05:00","Pulsatilla","pulsatilla","message164","photos/photo_110@19-11-2024_10-42-17.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/pulsatilla/message164-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message165","19.11.2024 11:32:53 UTC-05:00","Natrum Muriaticum","natrum-muriaticum","message49","photos/photo_111@19-11-2024_11-32-53.jpg","yes","supporting_post_attached","supporting_image","approved_for_publication","/media/remedies/natrum-muriaticum/message165-1.jpg","Attached to an additional canonical/source-support message; approved for the compact supporting gallery."
"message168","20.11.2024 10:49:37 UTC-05:00","Arnica","arnica","message168","photos/photo_112@20-11-2024_10-49-37.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/arnica/message168-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message169","21.11.2024 14:26:29 UTC-05:00","Phosphoricum Acidum","phosphoricum-acidum","message169","photos/photo_113@21-11-2024_14-26-29.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/phosphoricum-acidum/message169-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message180","25.11.2024 23:39:46 UTC-05:00","Rhus Toxicodendron","rhus-toxicodendron","message180","photos/photo_120@25-11-2024_23-39-46.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/rhus-toxicodendron/message180-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message188","29.11.2024 01:56:37 UTC-05:00","Arsenicum Album","arsenicum-album","message188","photos/photo_124@29-11-2024_01-56-37.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/arsenicum-album/message188-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message198","03.12.2024 21:47:26 UTC-05:00","Sulphur","sulphur","message113","photos/photo_132@03-12-2024_21-47-26.jpg","yes","supporting_post_attached","supporting_image","approved_for_publication","/media/remedies/sulphur/message198-1.jpg","Attached to an additional canonical/source-support message; approved for the compact supporting gallery."
"message199","03.12.2024 21:54:01 UTC-05:00","Sulphur","sulphur","message113","photos/photo_133@03-12-2024_21-54-01.jpg","yes","supporting_post_attached","supporting_image","approved_for_publication","/media/remedies/sulphur/message199-1.jpg","Attached to an additional canonical/source-support message; approved for the compact supporting gallery."
"message200","03.12.2024 22:16:52 UTC-05:00","Sulphur","sulphur","message113","photos/photo_134@03-12-2024_22-16-52.jpg","yes","supporting_post_attached","supporting_image","approved_for_publication","/media/remedies/sulphur/message200-1.jpg","Attached to an additional canonical/source-support message; approved for the compact supporting gallery."
"message205","05.12.2024 21:06:34 UTC-05:00","Calcarea Carbonica","calcarea-carbonica","message205","photos/photo_139@05-12-2024_21-06-34.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/calcarea-carbonica/message205-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message217","11.12.2024 17:57:00 UTC-05:00","Kalium Sulphuricum","kalium-sulphuricum","message217","photos/photo_147@11-12-2024_17-57-00.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/kalium-sulphuricum/message217-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message218","11.12.2024 18:16:01 UTC-05:00","Kalium Sulphuricum","kalium-sulphuricum","message217","photos/photo_148@11-12-2024_18-16-01.jpg","yes","supporting_post_attached","supporting_image","approved_for_publication","/media/remedies/kalium-sulphuricum/message218-1.jpg","Attached to an additional canonical/source-support message; approved for the compact supporting gallery."
"message219","12.12.2024 09:55:24 UTC-05:00","Coffea Cruda","coffea-cruda","message219","photos/photo_149@12-12-2024_09-55-24.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/coffea-cruda/message219-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message222","13.12.2024 17:57:04 UTC-05:00","Kalium Arsenicosum","kalium-arsenicosum","message222","photos/photo_152@13-12-2024_17-57-04.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/kalium-arsenicosum/message222-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message228","14.12.2024 18:40:46 UTC-05:00","Avena Sativa","avena-sativa","message228","photos/photo_156@14-12-2024_18-40-46.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/avena-sativa/message228-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message230","15.12.2024 00:06:39 UTC-05:00","Spongia Tosta","spongia-tosta","message230","photos/photo_157@15-12-2024_00-06-39.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/spongia-tosta/message230-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message240","16.12.2024 17:54:26 UTC-05:00","Lycopodium","lycopodium","message240","photos/photo_164@16-12-2024_17-54-26.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/lycopodium/message240-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message244","19.12.2024 19:58:03 UTC-05:00","Carbo vegetabilis","carbo-vegetabilis","message244","photos/photo_165@19-12-2024_19-58-03.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/carbo-vegetabilis/message244-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
"message245","20.12.2024 16:12:36 UTC-05:00","Carbo vegetabilis","carbo-vegetabilis","message244","photos/photo_166@20-12-2024_16-12-36.jpg","yes","supporting_post_attached","supporting_image","approved_for_publication","/media/remedies/carbo-vegetabilis/message245-1.jpg","Attached to an additional canonical/source-support message; approved for the compact supporting gallery."
"message247","20.12.2024 18:22:07 UTC-05:00","Sepia","sepia","message247","photos/photo_167@20-12-2024_18-22-07.jpg","yes","primary_card_attached","primary_remedy_image","approved_for_publication","/media/remedies/sepia/message247-1.jpg","Attached to the canonical remedy source post; approved as the single primary image for this remedy."
