canonical_latin_name,slug,primary_source_message,primary_source_sections,full_card_sources,supplementary_sources,manual_source_file,baseline_characters,primary_source_characters,rebuilt_characters,truncated_before,missing_sections_before,missing_sections_after
Natrum Muriaticum,natrum-muriaticum,message49 (07.09.2024 13:53:33 UTC-05:00),,message49 (07.09.2024 13:53:33 UTC-05:00),message165 (19.11.2024 11:32:53 UTC-05:00),source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html,1927,521,2302,no,,
Ignatia Amara,ignatia-amara,message54 (08.09.2024 15:54:00 UTC-05:00),,message54 (08.09.2024 15:54:00 UTC-05:00),,source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html,222,1039,1038,yes,,
Cantharis,cantharis,message70 (12.09.2024 19:14:04 UTC-05:00),,message70 (12.09.2024 19:14:04 UTC-05:00),,source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html,147,624,629,yes,,
Opium,opium,message112 (25.09.2024 16:47:01 UTC-05:00),АРХЕТИП,message112 (25.09.2024 16:47:01 UTC-05:00),,source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html,65,1216,1222,yes,АРХЕТИП,
Sulphur,sulphur,message113 (26.09.2024 20:41:07 UTC-05:00),,message113 (26.09.2024 20:41:07 UTC-05:00),message198 (03.12.2024 21:47:26 UTC-05:00); message199 (03.12.2024 21:54:01 UTC-05:00); message200 (03.12.2024 22:16:52 UTC-05:00),source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html,4223,1088,5198,no,,
Baryta Carbonica,baryta-carbonica,message114 (27.09.2024 08:46:07 UTC-05:00),,message114 (27.09.2024 08:46:07 UTC-05:00),message481 (29.04.2025 17:23:46 UTC-05:00),source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html,2878,2518,5373,no,,
Urtica Urens,urtica-urens,message134 (28.10.2024 16:46:56 UTC-05:00),ЭФФЕКТ; АРХЕТИП,message134 (28.10.2024 16:46:56 UTC-05:00),,source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html,46,949,952,yes,ЭФФЕКТ,
Ferrum Phosphoricum,ferrum-phosphoricum,message147 (08.11.2024 10:04:09 UTC-05:00),АРХЕТИП,message147 (08.11.2024 10:04:09 UTC-05:00),,source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html,175,1400,1409,yes,АРХЕТИП,
Lachesis,lachesis,message153 (12.11.2024 09:39:11 UTC-05:00),АРХЕТИП,message153 (12.11.2024 09:39:11 UTC-05:00),,source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html,118,941,946,yes,АРХЕТИП,
Gelsemium,gelsemium,message158 (15.11.2024 09:15:57 UTC-05:00),АРХЕТИП,message158 (15.11.2024 09:15:57 UTC-05:00),,source-books/book-1-alchemy-soul/alchemy_soul_guide_homeopathy_remedies.html,95,1718,1747,yes,АРХЕТИП,
