message_id,message_type,date_utc_offset,forwarded,photo_assets,photo_count,missing_asset_count,source_channel,text_sha256,text_excerpt,content_type,book_assignment,include_in_book,useful,classification_confidence,remedy_focus,canonical_remedy,remedy_slug,canonical_card_message_id,duplicate_of_message_id,source_file,source_anchor
"message-1","service","","no","","0","0","Психогомеопатия: Алхимия души.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","","service_history","service","no","no","high","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message-1"
"message1","service","","no","","0","0","Психогомеопатия: Алхимия души.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","","service_history","service","no","no","high","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message1"
"message2","service","","no","photos/photo_1@01-09-2024_13-08-43.jpg","1","0","Психогомеопатия: Алхимия души.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","","service_history","service","no","no","high","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message2"
"message3","service","","no","","0","0","Психогомеопатия: Алхимия души.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","","service_history","service","no","no","high","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message3"
"message4","default","01.09.2024 13:37:42 UTC-05:00","yes","photos/photo_2@01-09-2024_13-37-42.jpg","1","0","Психогомеопатия: Алхимия души.","38cf6f6a9236ab4cfb3eaa6266ca886d2288d272e54028438a05bae5eec6b46c","ПСИХОТЕРАПИЯ У каждого человека в жизни были свои стрессы. Но есть Сила Жизни, молодости, Эроса которая толкает нас вперед, сквозь преграды и ступоры. Жизнь человека, события, успехи находятся на балансе Силы Жизни (развития) и Смерти (ступоров, блоков). В юности Сила Жизни преобладает. Далее постепенно наступает баланс, и ближе к старости побеждают страхи и","promo_admin","promo_or_boilerplate","no","no","medium","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message4"
"message5","default","01.09.2024 13:37:42 UTC-05:00","yes","photos/photo_3@01-09-2024_13-37-42.jpg","1","0","Психогомеопатия: Алхимия души.","7d69630321b0d362caf3eff0368b12941dc139e90680b9db9fea4d19957dd33f","Типы внутренних конфликтов в психотерапии. Это заметка в первую очередь для тех, кто у меня находится в психотерапии. Она показывает те темы, личные грани, которые мы постепенно исследуем и прорабатываем. #1. Ось Близость- дистанция. Это ключевой конфликт, который закладывается в раннем детстве. Про необходимость близости и невозможность ее обрести. Небезопа","other","out_of_scope","no","no","low","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message5"
"message6","default","01.09.2024 13:37:42 UTC-05:00","yes","photos/photo_4@01-09-2024_13-37-42.jpg","1","0","Психогомеопатия: Алхимия души.","0416215510e0853f307d964f9ec9d0d847cb335393165e8445e3d41f49a242a1","Еще один подход, на которую я опираюсь, работая с клиентами в психотерапии, - модель Бодинамики. Здесь тоже выделяется 7/8 ключевых структур. А- ранний, Б- поздний. #1. Право жить, существовать (Период беременности). Темы: безопасность, доверие, принятие, границы, пассивность, уход в себя, сверчувствительность, потребность в защите. А. Ментальные: уходят в г","other","out_of_scope","no","no","low","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message6"
"message7","default","01.09.2024 13:37:42 UTC-05:00","yes","photos/photo_5@01-09-2024_13-37-42.jpg","1","0","Психогомеопатия: Алхимия души.","4310d2973b06059774777dbf05e8690fc23c2537586734f0467687745fc4934d","Общая модель структур личности. Я скомпоновал Модель структур психики в методе Бодинамика и ОПД, и получилась сводная модель, которая фактически является планом-структурой для терапевтической работы. Она соответствует этапам развития человека. Этап 1. БЕЗОПАСНОСТЬ. 0 лет. Это отражение опыта рождения и внутриутробного периода. Здесь мы работаем с наличием чу","other","out_of_scope","no","no","low","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message7"
"message8","default","01.09.2024 13:37:42 UTC-05:00","yes","photos/photo_6@01-09-2024_13-37-42.jpg","1","0","Психогомеопатия: Алхимия души.","064f8089e525fadd6183b30d5837d147785d77505f677a9f905cf76650e1cac2","АЛХИМИЯ ДУШИ (подход гомеопатии). Оказалось, это очень интересный метод. Он перевернул мою работу в психотерапии С гомеопатией я давно знаком, но не работал. А недавно, зайдя в аптеку, я понял, что могу отслеживать влияние препаратов на организм. Это интересно. От одних препаратов реакции ноль, от других тяжесть, а третьи дают тонус и активацию. Много нюансо","deep_alchemical","book_04","yes","yes","medium","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message8"
"message9","default","01.09.2024 13:37:42 UTC-05:00","yes","photos/photo_7@01-09-2024_13-37-42.jpg","1","0","Психогомеопатия: Алхимия души.","44052583e942a632dd1dc613e8c53eb005a122b41b59d0832611d64ace46fb82","Алхимия Души (+ подход натуропатии). В Бодинамике выделяется 2 типа травматизации : 1) ранняя, в начале этапа развития 2) поздняя - в конце. На раннем этапе ресурсов мало, и человек входит в позицию избегания темы. На позднем этапе ресурсов больше, человек входит в позицию борьбы за ресурс. Я расширил схему внутренних конфликтов, созданную ранее, и подобрал ","deep_alchemical","book_04","yes","yes","medium","mention_only","Teucrium","teucrium","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message9"
"message10","default","01.09.2024 13:37:42 UTC-05:00","yes","photos/photo_8@01-09-2024_13-37-42.jpg","1","0","Психогомеопатия: Алхимия души.","e0a1666ea1b1724d2a896c6f303f1cb32e2838051e8c38375eb275dd533eb425","Алхимия души. Гомеопатия. Это очень интересно. Меня поражает, как каждый препарат очень точечно и прицельно, меняет параметры психики, связи внутри человека. Причем мгновенно! Я считаю, если добавлять гомеопатию в сеансы психотерапии, эффект растет значительно. Как я работаю в Расширенных сессиях: психотерапия + гомеопатия (в рамках одной сессии): Шаг #1. На","deep_alchemical","book_04","yes","yes","medium","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message10"
"message11","default","01.09.2024 13:37:43 UTC-05:00","yes","photos/photo_9@01-09-2024_13-37-43.jpg","1","0","Психогомеопатия: Алхимия души.","fc9022f5260df6603b2780f04fc891407bd8daf296872e066f282f2ebf4ae33d","ЭФФЕКТИВНОСТЬ ГОМЕОПАТИИ Вопрос влияния гомеопатии на физические болезни обсуждается. А вот влияние гомеопатии на коррекцию психических состояний очень высоко. Можно эффективно регулировать глубокие внутренние стрессы, детские травмы, психосоматические заболевания, проблемы в самочувствии, конфликты отношениях, уверенность в себе и другие симптомы. Для психо","theory_method","book_01","yes","yes","medium","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message11"
"message12","default","01.09.2024 13:37:43 UTC-05:00","yes","photos/photo_10@01-09-2024_13-37-43.jpg","1","0","Психогомеопатия: Алхимия души.","bb58766549650321a663d3beae7fe4efd62e886fb7a4b2cc2597a9d5221e628d","КЕЙС 1. Приведу пример работы с симптомом ""кожные проблемы"" в гомеопатии. Для работы с симптомами я взял подход системного моделирования, когда мы вводим 2 объекта: ""человек-симптом"" и определяем между ними связь (причину). Задача стоит очистить связь. Если нет связи - нет симптома. Связь определяет смысл, почему у человека тот или иной симптом. ПЛАН РАБОТЫ ","theory_method","book_01","yes","yes","medium","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message12"
"message13","default","01.09.2024 13:37:43 UTC-05:00","yes","photos/photo_11@01-09-2024_13-37-43.jpg","1","0","Психогомеопатия: Алхимия души.","63c129c5f774859b6c99259635dfa5d9f08320afd10c72c7f4a50c4827f61bbb","КЕЙС 2. Приведу пример работы с запросом Усталость в гомеопатии и психотерапии. Знаете, что любопытно? Запрос один, но для разных клиентов оказались разные ситуации и решения. 1. В первом случае расстановка показала, что причина симптома- чувство безвыходности, когда клиента все хотят, что-то требуют, а он не можешь ни уйти, ни остаться. С точки зрения психо","theory_method","book_01","yes","yes","medium","mention_only","Natrum Muriaticum","natrum-muriaticum","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message13"
"message14","default","01.09.2024 13:37:43 UTC-05:00","yes","photos/photo_12@01-09-2024_13-37-43.jpg","1","0","Психогомеопатия: Алхимия души.","8c0426683b9999ed24f6aae5f18ee6c90a8f010bee4495d8ddc1c59347ffab42","ГОМЕОПАТИЯ ДЛЯ ДЕНЕГ И БИЗНЕСА. - Гомеопатия работает с деньгами? - Конечно. Как и с любой темой. Кейс. БИЗНЕС И СОЦИУМ. Ко мне пришел запрос на работу с вопросом денег через гомеопатию. Шаг 1. Я провед анализ: поставил модель на отношения с деньгами. Оказалось, в системе к деньгам отторжение, поскольку деньги бросают вызов. А вызов страшит. Потому лучше ден","deep_alchemical","book_04","yes","yes","medium","mention_only","Lycopodium; Staphysagria","lycopodium; staphysagria; lycopodium; staphysagria","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message14"
"message15","default","01.09.2024 13:37:43 UTC-05:00","yes","photos/photo_13@01-09-2024_13-37-43.jpg","1","0","Психогомеопатия: Алхимия души.","60e37bdd7ce76078725147513afed4f7f79db99228da2aa6c3abbb6a9f8d5b82","ДИСТАНЦИОННАЯ ГОМЕОПАТИЯ. Работа с симптомами. Такой метод существует. Так как, по сути, гомеопатия - это информация, то гомеопатические сеансы можно проводить по фото. Сегодня разбирался как повысить эффективность дистанционной гомеопатической работы. ВОПРОС: в системе ""Я-Симптом"", эффективнее гомеопатией воздействовать на Я или на симптом? Ведь это все мы.","deep_alchemical","book_04","yes","yes","medium","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message15"
"message16","default","01.09.2024 13:37:43 UTC-05:00","yes","photos/photo_14@01-09-2024_13-37-43.jpg","1","0","Психогомеопатия: Алхимия души.","ac82e821ee5abab5faef5077f25721bc1b993fb2006eecb226b04df02574c7da","БИЗНЕС-СОПРОВОЖДЕНИЕ Активация подсознательных ресурсов и новых возможностей. Мы можем поработать с вашими бизнес- проектами, задачами. Над достижением результата. Формат работы: 1. Еженедельные личные сессии: анализ текущей ситуации, определение ключевых задач и путей их реализации. Во время сессий мы разбираем возможности и находим оптимальные решения для ","deep_alchemical","book_04","yes","yes","medium","none","","","","","Telegram Desktop/ChatExport_2026-09-04/messages.html","#message16"
