post_id,date,url,title_first_line,topic,subtopic,deity_archetype,place,ritual_practice,initiation_stage,cosmology,calendar_time,historical_material,mythology,author_interpretation,therapeutic_archetypal_interpretation,knowledge_level,duplicate_of,series_id,included_in_chapter
2,07.09.2022 19:22:05 UTC-05:00,https://t.me/mayaismagic/2,Это паблик является продолжением наших Курсов по изучению Традиции Шаманизма Мезоамерики.,Maya tradition,shamanism,,майя; ацтек; мезоамерик,,,,,,,,,,,,
3,07.09.2022 19:37:03 UTC-05:00,https://t.me/mayaismagic/3,"Вот интересный обьект, где можно получить инициацию.",,,,,,initiation,,,,,,,,,,
4,07.09.2022 19:50:24 UTC-05:00,https://t.me/mayaismagic/4,Здесь изображенин ягуара.,Maya tradition,shamanism,,майя,,,,,,,,,,,,
5,07.09.2022 20:01:59 UTC-05:00,https://t.me/mayaismagic/5,Здесь изображения Змея.,Maya tradition,,,майя,ritual/practice,,cosmology,,,,,,,,,
6,07.09.2022 20:01:59 UTC-05:00,https://t.me/mayaismagic/6,,,,,,,,,,,,,,,,,
7,07.09.2022 20:04:25 UTC-05:00,https://t.me/mayaismagic/7,А здесь через алтарный обьект показан сам ритуал жертвоприношения.,,,,,ritual/practice,,,,,,,,,,,
8,07.09.2022 20:04:25 UTC-05:00,https://t.me/mayaismagic/8,,,,,,,,,,,,,,,,,
9,07.09.2022 22:59:13 UTC-05:00,https://t.me/mayaismagic/9,Добавил чат для комментариев. Можно писать здесь:),,,,,,,,,,,,,,,,
11,12.09.2022 10:09:07 UTC-05:00,https://t.me/mayaismagic/11,,,,,,,,,,,,,,,,,
12,30.09.2022 02:10:00 UTC-05:00,https://t.me/mayaismagic/12,"Ацтекское оружие Макуавитлей выглядело как плоская дубинка с острыми лезвиями по бокам. Это не современные металлические лезвия, а из природного обсидиана.",,,,ацтек,,,,,,,,,,,,
13,27.11.2022 03:29:22 UTC-05:00,https://t.me/mayaismagic/13,,,,,,,,,,,,,,,,,
14,26.12.2022 13:27:31 UTC-05:00,https://t.me/mayaismagic/14,Монте Альбан. Оахака.,,,,,,,,calendar,,,,,,,,
